Hours on boat,Hours fished,Number of fish avail for inspection,Number in fishing party,Number of contributing fishermen
11.5,6.5,41.0,4.0,4.0
9.0,5.0,27.0,3.0,3.0
10.0,6.5,26.0,2.0,2.0
8.0,4.0,21.0,6.0,6.0
4.5,3.5,20.0,5.0,5.0
9.3,6.8,19.4,5.4,5.4
4.6,3.6,18.0,5.9,5.9
4.4,3.3,17.8,4.4,3.3
10.6,7.1,16.0,5.2,4.6
4.0,3.0,15.0,6.0,6.0
8.0,6.0,15.0,2.0,2.0
9.4,6.1,15.0,5.5,5.5
4.8,3.7,12.8,4.4,3.2
10.2,7.3,12.5,5.1,4.5
11.0,7.2,12.0,4.0,4.0
4.5,3.8,12.0,4.0,4.0
9.9,6.5,11.7,5.0,4.3
10.7,6.6,10.5,4.7,3.1
5.6,3.9,9.8,4.2,2.2
10.1,5.8,9.7,5.5,4.3
6.3,3.8,8.8,4.8,2.0
10.8,6.8,8.8,5.0,3.4
9.4,7.3,8.4,5.0,2.0
7.0,4.2,8.0,4.0,4.0
5.4,4.0,7.9,3.2,2.6
11.7,6.5,7.3,4.0,4.0
4.0,3.0,7.0,2.0,2.0
5.0,4.1,6.7,3.1,2.5
6.6,4.5,6.6,3.0,1.9
5.8,3.7,5.7,3.3,2.0
7.0,4.5,5.5,4.4,2.6
5.4,4.0,5.2,3.4,1.8
5.0,4.1,5.1,3.0,2.3
9.0,6.1,4.9,3.2,1.8
5.3,4.5,4.6,2.6,1.7
9.1,5.9,3.7,3.6,1.9
5.3,4.3,3.6,2.6,1.3
5.6,4.3,3.6,2.7,1.5
4.0,3.5,3.5,4.0,2.5
5.8,4.5,3.3,1.9,1.2
5.7,4.8,3.2,2.4,1.4
9.6,6.6,3.0,3.9,1.9
5.0,2.0,3.0,4.0,4.0
6.0,4.0,3.0,6.0,3.0
12.0,6.0,3.0,3.0,3.0
11.0,8.0,3.0,2.0,2.0
5.2,4.4,2.9,2.1,1.4
4.9,4.2,2.9,2.0,1.6
5.7,4.5,2.8,2.2,1.4
9.3,5.0,2.5,3.3,2.0
4.8,4.2,2.4,2.4,1.4
4.4,3.7,2.4,2.1,1.6
4.7,3.7,2.2,2.0,1.5
5.4,4.0,1.9,2.6,1.5
7.8,5.8,1.8,2.8,1.3
5.6,4.5,1.7,2.0,1.3
8.2,5.9,1.6,3.4,1.4
5.6,4.3,1.5,2.5,1.2
6.7,4.6,1.2,3.0,1.2
4.0,3.0,1.0,6.0,1.0
11.0,8.5,1.0,5.0,1.0
9.4,5.4,1.0,6.2,1.2
18.0,12.0,1.0,4.0,1.0
5.6,4.4,0.6,3.0,1.1
9.2,5.8,0.5,2.8,1.2
6.1,5.1,0.5,3.0,1.3
5.0,4.0,0.5,4.0,1.0
6.0,3.8,0.3,2.7,1.0
5.5,3.0,0.0,4.0,1.0
5.0,4.0,0.0,6.0,1.0
6.0,5.0,0.0,3.0,1.0
6.0,5.0,0.0,2.0,1.0
4.6,4.2,0.0,2.6,1.0
5.0,3.0,0.0,1.5,1.0
8.2,7.7,0.0,2.0,1.0
7.3,3.6,0.0,5.4,1.0
5.0,2.5,0.0,2.0,1.0
3.0,2.5,0.0,6.0,1.0
